file	ext	bytes	mtime	mutations	paid_api	duplicate_of_tracked	class
render-intro-pages.ts	ts	1432	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
render-pdf-pages.ts	ts	2848	2026-08-11	none	-	-	read-only experiment
render-restored-pages-once.ts	ts	1538	2026-08-04	db-read	-	-	read-only experiment
render-term-pages.ts	ts	1302	2026-06-16	DB-WRITE	-	-	DANGEROUS — needs guard
repair-mojibake.ts	ts	3258	2026-08-12	none	-	-	read-only experiment
report-154.json	json	629742	2026-08-11	n/a	-	-	ARTIFACT (json)
report-rev2.json	json	630688	2026-08-11	n/a	-	-	ARTIFACT (json)
report-rev3.json	json	632783	2026-08-11	n/a	-	-	ARTIFACT (json)
rerender-about-series.ts	ts	6190	2026-06-15	DB-WRITE,STORAGE-WRITE	-	-	DANGEROUS — needs guard
rerender-copyright.ts	ts	5891	2026-06-15	DB-WRITE,STORAGE-WRITE	-	-	DANGEROUS — needs guard
rerender-p19.ts	ts	5201	2026-08-14	none	OpenAI	-	DANGEROUS — needs guard
res-after.md	md	194119	2026-08-14	n/a	-	-	ARTIFACT (md)
res-base.md	md	194091	2026-08-14	n/a	-	-	ARTIFACT (md)
reshape-openers.ts	ts	11678	2026-08-14	DB-WRITE	-	-	DANGEROUS — needs guard
